Article title: Plant's contributions to people shift with glacier retreat;;;;;;;;;;;;;;;;;;;
Authors: Nora Khelidj, Simone Balestra, Marco Stefano Caccianiga, Bruno E.L. Cerabolini, Duccio Tampucci, Gianalberto Losapio. ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Stage;Species;Habitat creation and maintenance ;Pollination;Air quality ;Climate Regulation;Water supply ;Soil ;Natural Hazards ;Pest and Disease ;Nutrient Regulation;Energy;Food; Feed;Raw Materials;Med., biochem. and gen. resources;Ornamental Resources;Scientific learning and inspiration;Physical and psychological experiences;Supporting identities
T;Euphrasia minima;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0
T;Festuca nigrescens;1;0;1;0;0;1;0;-1;0;0;0;1;0;0;0;0;0;0
T;Gentiana kochiana;0;1;1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;1
T;Gentiana punctata;0;1;1;0;0;1;0;-1;1;0;1;0;1;1;1;0;1;1
T;Gentianella germanica;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1
T;Hieracium pilosella;0;1;1;0;0;1;0;-1;1;0;1;1;0;1;1;1;0;0
T;Homogyne alpina;0;1;1;0;0;1;0;-1;1;0;0;1;0;1;0;0;0;0
T;Huperzia selago;1;0;1;0;0;1;0;1;0;0;-1;-1;0;1;0;0;0;1
T;Juncus trifidus;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
T;Leontodon helveticus;0;1;1;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1
T;Ligusticum mutellina;0;1;1;0;0;1;0;-1;1;0;1;1;0;1;0;0;0;1
T;Loiseleria procumbens;1;1;1;0;0;1;0;-1;0;0;0;0;0;1;1;0;1;1
T;Luzula lutea;1;0;1;0;0;1;0;-1;1;0;0;1;0;0;0;0;0;0
T;Nardus stricta;1;0;1;0;0;1;0;-1;1;0;0;1;0;0;0;0;0;1
T;Pedicularis kerneri;0;1;1;0;0;1;0;0;1;0;-1;-1;0;1;0;0;1;0
T;Pholia sp.;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
T;Phyteuma hemisphaericum;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
T;Pirola sp.;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
T;Polygonum viviparum;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;1;0;1
T;Polythricastrum alpinum;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
T;Potentilla aurea;0;1;1;0;0;1;0;-1;1;0;0;0;0;1;1;0;0;1
T;Primula glutinosa;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0
T;Pulsatilla alpina;0;1;1;0;0;0;0;1;0;0;-1;-1;0;1;1;0;1;1
T;Ranunculus montanus;0;1;1;0;0;1;0;1;1;0;-1;-1;0;0;1;0;0;0
T;Rhododendrum ferrugineum;1;1;1;0;0;1;1;-1;1;0;-1;-1;0;1;1;1;1;1
T;Sagina saginoides;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1
T;Salix helvetica;1;0;1;0;0;1;1;-1;1;1;0;0;1;0;1;0;0;1
T;Salix serpillifolia;1;0;1;0;0;1;1;-1;1;0;0;0;0;1;0;0;1;0
T;Selaginella selaginoides;0;0;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0
T;Sibbaldia procumbens;1;1;1;0;0;1;0;-1;1;0;0;0;0;0;0;0;1;0
T;Soldanella pusilla;0;1;1;0;0;1;0;-1;1;0;0;0;0;0;1;0;1;0
T;Thymus sp.;1;1;1;0;0;1;1;1;1;0;0;1;0;1;1;1;0;1
T;Vaccinium mirtillus;1;1;1;0;0;1;1;-1;1;1;0;1;0;1;1;1;0;1
T;Vaccinium uliginosum;1;1;1;0;0;1;1;-1;1;1;0;1;0;1;1;1;0;1
T;Antennaria carpatica;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0
T;Festuca halleri;1;0;1;0;0;1;0;-1;1;0;0;1;0;0;0;1;0;0
T;Hieracium glanduliferum;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
T;Oreochloa disticha;1;0;1;0;0;1;0;-1;0;0;0;1;0;0;0;0;0;0
T;Salix retusa;1;0;1;0;0;1;0;-1;1;0;0;0;0;0;0;1;0;0
T;Soldanella alpina;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0
;Achillea moschata;1;1;1;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1
;Achillea nana;1;1;1;;;1;0;1;1;0;1;0;0;1;0;0;0;1
